Ontology transportation.incoherent.xml
1157/2380 tiên đề logic
Số khái niệm không thoả được: 62
Số khái niệm: 445
Số tiên đề tri thức nền ban đầu: 1015
OpenTopRailcar ⊑ Ambulance: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
SingleTrafficLane ⊑ FHWAVehicleClass10: NA_ODP (k=9, nAx=1141, nAxPerStep=14.0, nDeltaODP = 7)
ContractCarrier ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
FlatRackContainer ⊑ FHWAVehicleClass10: NA_ODP (k=8, nAx=1136, nAxPerStep=15.1, nDeltaODP = 98)
LightTruck ⊑ FHWAVehicleClass10: Accepted (k=3, nAx=1113, nAxPerStep=32.7)
InternationalLaw ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
PortEmbargo ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
ContainerShip ⊑ FHWAVehicleClass10: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
TrainStation ⊑ FHWAVehicleClass10: NA_ODP (k=8, nAx=1141, nAxPerStep=15.8, nDeltaODP = 7)
Airport ⊑ FHWAVehicleClass10: Accepted (k=6, nAx=1117, nAxPerStep=17.0)
LegalCharge ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
CargoShip ⊑ FHWAVehicleClass10: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
Translocation ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
InternalShipRegister ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
IntermodalTransportation ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
Arriving ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
LiquefiedGasTankerShip ⊑ FHWAVehicleClass10: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
InternalCombustionEngine ⊑ FHWAVehicleClass10: NA_ODP (k=4, nAx=1122, nAxPerStep=26.8, nDeltaODP = 8)
CoachRailcar ⊑ FHWAVehicleClass10: NA_ODP (k=15, nAx=1157, nAxPerStep=9.5, nDeltaODP = 98)
TakingOff ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
GeographicArea ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
MilitaryVan ⊑ FHWAVehicleClass10: NA_ODP (k=8, nAx=1136, nAxPerStep=15.1, nDeltaODP = 98)
UreaCarrierShip ⊑ FHWAVehicleClass10: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
RadarOrSonar ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
Catamaran ⊑ FHWAVehicleClass10: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
CommercialCarrier ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
Trail ⊑ FHWAVehicleClass10: NA_ODP (k=11, nAx=1141, nAxPerStep=11.5, nDeltaODP = 7)
Dam ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
Substance ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
DepartmentOfTransportation ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
LivestockCarrierShip ⊑ FHWAVehicleClass10: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
MerchantMarineShip ⊑ FHWAVehicleClass10: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
VehicleCarrierShip ⊑ FHWAVehicleClass10: NA_ODP (k=13, nAx=1136, nAxPerStep=9.3, nDeltaODP = 98)
TransportationSystem ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
FHWAVehicleClass5 ⊑ FHWAVehicleClass10: NA_ODP (k=4, nAx=1121, nAxPerStep=26.5, nDeltaODP = 8)
FHWAVehicleClass6 ⊑ FHWAVehicleClass10: NA_ODP (k=4, nAx=1121, nAxPerStep=26.5, nDeltaODP = 8)
FHWAVehicleClass7 ⊑ FHWAVehicleClass10: NA_ODP (k=4, nAx=1121, nAxPerStep=26.5, nDeltaODP = 8)
FHWAVehicleClass8 ⊑ FHWAVehicleClass10: NA_ODP (k=4, nAx=1121, nAxPerStep=26.5, nDeltaODP = 8)
Transitway ⊑ FHWAVehicleClass10: NA_ODP (k=8, nAx=1141, nAxPerStep=15.8, nDeltaODP = 7)
FHWAVehicleClass1 ⊑ FHWAVehicleClass10: NA_ODP (k=4, nAx=1121, nAxPerStep=26.5, nDeltaODP = 8)
PetroleumTankerShip ⊑ FHWAVehicleClass10: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
FHWAVehicleClass2 ⊑ FHWAVehicleClass10: NA_ODP (k=4, nAx=1121, nAxPerStep=26.5, nDeltaODP = 8)
LocalTransitSystem ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
FHWAVehicleClass4 ⊑ FHWAVehicleClass10: NA_ODP (k=4, nAx=1121, nAxPerStep=26.5, nDeltaODP = 8)
DrillingShip ⊑ FHWAVehicleClass10: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
BinaryPredicate ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
RoadJunction ⊑ FHWAVehicleClass10: NA_ODP (k=5, nAx=1122, nAxPerStep=21.4, nDeltaODP = 8)
FHWAVehicleClass9 ⊑ FHWAVehicleClass10: NA_ODP (k=4, nAx=1121, nAxPerStep=26.5, nDeltaODP = 8)
FullSizeVan ⊑ FHWAVehicleClass10: Rejected (k=3, nAx=1113, nAxPerStep=32.7)
WoodChipsCarrierShip ⊑ FHWAVehicleClass10: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
DryBulkCargo ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
MaritimeBlockade ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
ShippingChannel ⊑ FHWAVehicleClass10: NA_ODP (k=11, nAx=1141, nAxPerStep=11.5, nDeltaODP = 7)
ShortSeaPassengerShip ⊑ FHWAVehicleClass10: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
Profession ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
RailwayTerminal ⊑ FHWAVehicleClass10: NA_ODP (k=8, nAx=1141, nAxPerStep=15.8, nDeltaODP = 7)
TransportationDevice ⊑ FHWAVehicleClass10: NA_ODP (k=8, nAx=1136, nAxPerStep=15.1, nDeltaODP = 98)
CrewDormCar ⊑ FHWAVehicleClass10: NA_ODP (k=15, nAx=1157, nAxPerStep=9.5, nDeltaODP = 98)
Signalling ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
MotorScooter ⊑ FHWAVehicleClass10: NA_ODP (k=4, nAx=1121, nAxPerStep=26.5, nDeltaODP = 8)
CombinationOreAndOilCarrierShip ⊑ FHWAVehicleClass10: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
FishingTrawler ⊑ FHWAVehicleClass10: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
NavigationLight ⊑ FHWAVehicleClass10: NA_ODP (k=6, nAx=1123, nAxPerStep=18.0, nDeltaODP = 8)
CommercialService ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
RefrigeratedCargoShip ⊑ FHWAVehicleClass10: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
Managing ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
TransportationSchedule ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
TurbopropAirplane ⊑ FHWAVehicleClass10: Rejected (k=3, nAx=1113, nAxPerStep=32.7)
Making ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
JetAirplane ⊑ FHWAVehicleClass10: Rejected (k=3, nAx=1113, nAxPerStep=32.7)
Motorboat ⊑ FHWAVehicleClass10: NA_ODP (k=10, nAx=1136, nAxPerStep=12.1, nDeltaODP = 98)
Pipeline ⊑ FHWAVehicleClass10: NA_ODP (k=9, nAx=1141, nAxPerStep=14.0, nDeltaODP = 7)
Ramp ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
AirTrafficControlProcedure ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
PassengerCar ⊑ FHWAVehicleClass10: Rejected (k=3, nAx=1113, nAxPerStep=32.7)
TransportationCompany ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
CombinationBulkAndOilCarrierShip ⊑ FHWAVehicleClass10: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
TerminalBuilding ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
Keeping ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
AirTrafficControlCenter ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
UserPoweredVehicle ⊑ FHWAVehicleClass10: NA_ODP (k=10, nAx=1136, nAxPerStep=12.1, nDeltaODP = 98)
IceBreakerShip ⊑ FHWAVehicleClass10: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
ShipHatch ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
ShipRegister ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
Shipping ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
ShippingLane ⊑ FHWAVehicleClass10: NA_ODP (k=11, nAx=1141, nAxPerStep=11.5, nDeltaODP = 7)
Urea ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
SelfPoweredDevice ⊑ FHWAVehicleClass10: NA_ODP (k=9, nAx=1136, nAxPerStep=13.4, nDeltaODP = 98)
ParkingGarage ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
RelationalAttribute ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
FHWAVehicleClass12 ⊑ FHWAVehicleClass10: NA_ODP (k=4, nAx=1121, nAxPerStep=26.5, nDeltaODP = 8)
SportUtilityVehicle ⊑ FHWAVehicleClass10: Rejected (k=3, nAx=1113, nAxPerStep=32.7)
FHWAVehicleClass13 ⊑ FHWAVehicleClass10: NA_ODP (k=4, nAx=1121, nAxPerStep=26.5, nDeltaODP = 8)
Wheel ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
InternationalAirport ⊑ FHWAVehicleClass10: Accepted (k=3, nAx=1113, nAxPerStep=32.7)
FHWAVehicleClass11 ⊑ FHWAVehicleClass10: NA_ODP (k=4, nAx=1121, nAxPerStep=26.5, nDeltaODP = 8)
Cycle ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
SurfacedRoadway ⊑ FHWAVehicleClass10: NA_ODP (k=4, nAx=1121, nAxPerStep=26.5, nDeltaODP = 8)
OrganicObject ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
HydraCushionFreightCar ⊑ FHWAVehicleClass10: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
TruckTrailer ⊑ FHWAVehicleClass10: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
ElectronicDevice ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
LinerService ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
SteamEngine ⊑ FHWAVehicleClass10: NA_ODP (k=4, nAx=1122, nAxPerStep=26.8, nDeltaODP = 8)
FuelTank ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
DeckCargoShip ⊑ FHWAVehicleClass10: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
HoistingDevice ⊑ FHWAVehicleClass10: NA_ODP (k=4, nAx=1122, nAxPerStep=26.8, nDeltaODP = 8)
FireBoat ⊑ FHWAVehicleClass10: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 7)
TradeEmbargo ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
OffshoreWellProductionShip ⊑ FHWAVehicleClass10: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
DieselEngine ⊑ FHWAVehicleClass10: NA_ODP (k=4, nAx=1122, nAxPerStep=26.8, nDeltaODP = 8)
MotorHopper ⊑ FHWAVehicleClass10: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
OffshoreAnchorage ⊑ FHWAVehicleClass10: NA_ODP (k=5, nAx=1123, nAxPerStep=21.6, nDeltaODP = 8)
InternalAttribute ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
FossilFuel ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
UnaryFunction ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
TransportationControlDevice ⊑ FHWAVehicleClass10: NA_ODP (k=4, nAx=1122, nAxPerStep=26.8, nDeltaODP = 8)
RailCarrierControl ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
Object ⊑ FHWAVehicleClass10: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
OffshoreSupplyShip ⊑ FHWAVehicleClass10: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
Anchorage ⊑ FHWAVehicleClass10: NA_ODP (k=5, nAx=1123, nAxPerStep=21.6, nDeltaODP = 8)
PassengerRailwayCar ⊑ FHWAVehicleClass10: NA_ODP (k=15, nAx=1157, nAxPerStep=9.5, nDeltaODP = 98)
OpenTopRailcar ⊑ InternationalAirport: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
SpecializedTankerShip ⊑ InternationalAirport: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
RotaryDumpCar ⊑ InternationalAirport: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
SelfConnectedObject ⊑ InternationalAirport: NA_ODP (k=5, nAx=1131, nAxPerStep=23.2, nDeltaODP = 98)
HumanPoweredDevice ⊑ InternationalAirport: NA_ODP (k=3, nAx=1114, nAxPerStep=33.0, nDeltaODP = 98)
PontoonBridge ⊑ InternationalAirport: NA_ODP (k=3, nAx=1113, nAxPerStep=32.7, nDeltaODP = 97)
RailwayVehicle ⊑ InternationalAirport: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
BodyMotion ⊑ InternationalAirport: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
PhysicalQuantity ⊑ InternationalAirport: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
Pier ⊑ InternationalAirport: NA_ODP (k=4, nAx=1121, nAxPerStep=26.5, nDeltaODP = 98)
Harbor ⊑ InternationalAirport: NA_ODP (k=4, nAx=1115, nAxPerStep=25.0, nDeltaODP = 98)
ChemicalTankerShip ⊑ InternationalAirport: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
HumanHabitationSpace ⊑ InternationalAirport: NA_ODP (k=8, nAx=1134, nAxPerStep=14.9, nDeltaODP = 98)
RailwayJunction ⊑ InternationalAirport: NA_ODP (k=5, nAx=1115, nAxPerStep=20.0, nDeltaODP = 96)
DiningCar ⊑ InternationalAirport: NA_ODP (k=15, nAx=1157, nAxPerStep=9.5, nDeltaODP = 98)
TransitwayObstacle ⊑ InternationalAirport: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
Barge ⊑ InternationalAirport: NA_ODP (k=10, nAx=1136, nAxPerStep=12.1, nDeltaODP = 98)
UnimodalTransportationSystem ⊑ InternationalAirport: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
FlightDeck ⊑ InternationalAirport: NA_ODP (k=4, nAx=1116, nAxPerStep=25.3, nDeltaODP = 98)
Trailer ⊑ InternationalAirport: NA_ODP (k=10, nAx=1136, nAxPerStep=12.1, nDeltaODP = 98)
SpineCar ⊑ InternationalAirport: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
Text ⊑ InternationalAirport: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
TractorTrailer ⊑ InternationalAirport: NA_ODP (k=4, nAx=1114, nAxPerStep=24.8, nDeltaODP = 90)
CrewList ⊑ InternationalAirport: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
DirectingTraffic ⊑ InternationalAirport: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
ShipHold ⊑ InternationalAirport: NA_ODP (k=5, nAx=1116, nAxPerStep=20.2, nDeltaODP = 98)
Organization ⊑ InternationalAirport: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
LightFixture ⊑ InternationalAirport: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
RefrigeratedCompartment ⊑ InternationalAirport: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
ElectricalSignalling ⊑ InternationalAirport: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
AtmosphericRegion ⊑ InternationalAirport: NA_ODP (k=4, nAx=1118, nAxPerStep=25.8, nDeltaODP = 98)
AirTrafficControlTower ⊑ InternationalAirport: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
Trip ⊑ InternationalAirport: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
FishingBoat ⊑ InternationalAirport: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
AirportClassification ⊑ InternationalAirport: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
CraneShip ⊑ InternationalAirport: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
Device ⊑ InternationalAirport: NA_ODP (k=3, nAx=1114, nAxPerStep=33.0, nDeltaODP = 98)
MotorizedRailwayCar ⊑ InternationalAirport: NA_ODP (k=4, nAx=1114, nAxPerStep=24.8, nDeltaODP = 94)
Fuel ⊑ InternationalAirport: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
AirTrafficControlRadarRoom ⊑ InternationalAirport: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
MultipleTrackRailway ⊑ InternationalAirport: NA_ODP (k=11, nAx=1134, nAxPerStep=10.8, nDeltaODP = 97)
WaterTransportationSystem ⊑ InternationalAirport: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
Motorcycle ⊑ InternationalAirport: NA_ODP (k=4, nAx=1114, nAxPerStep=24.8, nDeltaODP = 95)
AnimalPoweredDevice ⊑ InternationalAirport: NA_ODP (k=3, nAx=1114, nAxPerStep=33.0, nDeltaODP = 98)
PassengerAndCargoShip ⊑ InternationalAirport: NA_ODP (k=4, nAx=1115, nAxPerStep=25.0, nDeltaODP = 97)
CertificateOfRegistry ⊑ InternationalAirport: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
CognitiveAgent ⊑ InternationalAirport: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
SeaPort ⊑ InternationalAirport: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
Containerization ⊑ InternationalAirport: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
Flatcar ⊑ InternationalAirport: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
OrganicCompound ⊑ InternationalAirport: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
MilitaryWatercraft ⊑ InternationalAirport: NA_ODP (k=10, nAx=1136, nAxPerStep=12.1, nDeltaODP = 98)
Runway ⊑ InternationalAirport: NA_ODP (k=10, nAx=1134, nAxPerStep=11.9, nDeltaODP = 97)
Waterway ⊑ InternationalAirport: NA_ODP (k=10, nAx=1134, nAxPerStep=11.9, nDeltaODP = 98)
AirportByRunwaySurface ⊑ InternationalAirport: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
ContainerTerminal ⊑ InternationalAirport: NA_ODP (k=7, nAx=1134, nAxPerStep=17.0, nDeltaODP = 98)
Street ⊑ InternationalAirport: NA_ODP (k=3, nAx=1113, nAxPerStep=32.7, nDeltaODP = 97)
PetroleumProduct ⊑ InternationalAirport: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
Axle ⊑ InternationalAirport: NA_ODP (k=3, nAx=1114, nAxPerStep=33.0, nDeltaODP = 98)
OreCarrierShip ⊑ InternationalAirport: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
SetOrClass ⊑ InternationalAirport: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
ElectronicSignalling ⊑ InternationalAirport: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
ShipBerthing ⊑ InternationalAirport: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
LiquefiedPetroleumGas ⊑ InternationalAirport: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
Dredger ⊑ InternationalAirport: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
TransportationAuthority ⊑ InternationalAirport: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
ElectricMotor ⊑ InternationalAirport: NA_ODP (k=4, nAx=1114, nAxPerStep=24.8, nDeltaODP = 97)
Streetcar ⊑ InternationalAirport: NA_ODP (k=3, nAx=1113, nAxPerStep=32.7, nDeltaODP = 97)
CargoHandling ⊑ InternationalAirport: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
GeneralCargoShip ⊑ InternationalAirport: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
ElectrifiedRailwayCar ⊑ InternationalAirport: NA_ODP (k=5, nAx=1115, nAxPerStep=20.0, nDeltaODP = 86)
VolumeMeasure ⊑ InternationalAirport: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
Hole ⊑ InternationalAirport: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
Expressway ⊑ InternationalAirport: NA_ODP (k=3, nAx=1113, nAxPerStep=32.7, nDeltaODP = 97)
GliderAirplane ⊑ InternationalAirport: NA_ODP (k=10, nAx=1136, nAxPerStep=12.1, nDeltaODP = 98)
IntentionalProcess ⊑ InternationalAirport: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
TrainAssembly ⊑ InternationalAirport: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
PartialContainerShip ⊑ InternationalAirport: NA_ODP (k=13, nAx=1136, nAxPerStep=9.3, nDeltaODP = 98)
RegulatoryProcess ⊑ InternationalAirport: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
LiquefiedGasAndChemicalTankerShip ⊑ InternationalAirport: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
EmergencyVehicle ⊑ InternationalAirport: NA_ODP (k=3, nAx=1113, nAxPerStep=32.7, nDeltaODP = 92)
TrafficSignal ⊑ InternationalAirport: NA_ODP (k=3, nAx=1114, nAxPerStep=33.0, nDeltaODP = 98)
Railway ⊑ InternationalAirport: NA_ODP (k=10, nAx=1134, nAxPerStep=11.9, nDeltaODP = 97)
ShipDeck ⊑ InternationalAirport: NA_ODP (k=4, nAx=1116, nAxPerStep=25.3, nDeltaODP = 98)
ElectricDevice ⊑ InternationalAirport: NA_ODP (k=4, nAx=1114, nAxPerStep=24.8, nDeltaODP = 97)
PropellerAirplane ⊑ InternationalAirport: NA_ODP (k=3, nAx=1113, nAxPerStep=32.7, nDeltaODP = 96)
LandArea ⊑ InternationalAirport: NA_ODP (k=6, nAx=1120, nAxPerStep=17.5, nDeltaODP = 97)
EmergencyRoadVehicle ⊑ InternationalAirport: NA_ODP (k=3, nAx=1113, nAxPerStep=32.7, nDeltaODP = 93)
Battery ⊑ InternationalAirport: NA_ODP (k=3, nAx=1114, nAxPerStep=33.0, nDeltaODP = 98)
RailroadTrack ⊑ InternationalAirport: NA_ODP (k=4, nAx=1121, nAxPerStep=26.5, nDeltaODP = 98)
BusinessRailcar ⊑ InternationalAirport: NA_ODP (k=15, nAx=1157, nAxPerStep=9.5, nDeltaODP = 98)
Container ⊑ InternationalAirport: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
Seavan ⊑ InternationalAirport: NA_ODP (k=8, nAx=1136, nAxPerStep=15.1, nDeltaODP = 98)
LandVehicle ⊑ InternationalAirport: NA_ODP (k=10, nAx=1136, nAxPerStep=12.1, nDeltaODP = 98)
TransitTerminal ⊑ InternationalAirport: NA_ODP (k=7, nAx=1134, nAxPerStep=17.0, nDeltaODP = 98)
